,brands,prices,sale,tier
2474,Maison Pere,505.0,150.0,0 0 1
2475,Moon & Meadow,465.0,197.63,0 1 0
2476,Thom Browne,520.0,312.0,0 0 1
2477,Ambush,530.0,,0 0 1
2478,RtA,465.0,465.0,0 1 0
2479,MSGM,539.0,350.0,0 0 1
2480,Moncler Genius,470.0,470.0,0 1 0
2481,Alexis,484.0,484.0,0 1 0
2482,Fendi,490.0,490.0,0 1 0
2483,Zero Halliburton,495.0,,0 1 0
2484,Versace,458.0,229.0,0 1 0
2485,Givenchy,520.0,520.0,0 0 1
2486,The Kooples,538.0,,0 0 1
2487,Officine Creative,458.0,458.0,0 1 0
2488,Dorateymur,525.0,263.0,0 0 1
2489,Off-White,495.0,,0 1 0
2490,For Love & Lemons,460.0,460.0,0 1 0
2491,paco rabanne,481.0,289.0,0 1 0
2492,Golden Goose Deluxe Brand,495.0,495.0,0 1 0
2493,Fabiana Filippi,465.0,279.0,0 1 0
2494,ALANUI,495.0,421.0,0 1 0
2495,See by Chloé,465.0,,0 1 0
2496,Christopher Esber,474.0,474.0,0 1 0
2497,ISABEL MARANT,460.0,276.0,0 1 0
2498,Gucci,480.0,495.0,0 1 0
2499,SALT.,470.0,281.98,0 1 0
2500,Sophia Webster,536.0,536.0,0 0 1
2501,Polo Ralph Lauren,498.0,261.45,0 1 0
2502,Le Kasha,491.0,491.0,0 1 0
2503,Versace,525.0,525.0,0 0 1
2504,John Hardy,515.0,515.0,0 0 1
2505,Palm Angels,475.0,475.0,0 1 0
2506,Dion Lee,490.0,294.0,0 1 0
2507,Burberry,490.0,490.0,0 1 0
2508,Golden Goose Deluxe Brand,530.0,530.0,0 0 1
2509,Celine,500.0,500.0,0 1 0
2510,Belstaff,475.0,475.0,0 1 0
2511,Diesel,531.0,478.0,0 0 1
2512,John Varvatos,458.0,458.0,0 1 0
2513,MARC JACOBS,450.0,450.0,0 1 0
2514,Nike,535.0,535.0,0 0 1
2515,Tory Burch,526.0,526.0,0 0 1
2516,Saint Laurent,495.0,495.0,0 1 0
2517,VALENTINO,495.0,495.0,0 1 0
2518,Balmain,466.0,233.0,0 1 0
2519,Diane von Furstenberg,457.0,434.0,0 1 0
2520,Alexandra Golovanoff,517.19,,0 0 1
2521,3.1 Phillip Lim,475.0,475.0,0 1 0
2522,Dr. Barbara Sturm,495.0,,0 1 0
2523,Auden,478.0,,0 1 0
2524,Jan Barboglio,510.0,,0 0 1
2525,L'Autre Chose,500.0,350.0,0 1 0
2526,Fuzzi,495.0,495.0,0 1 0
2527,Tom Ford,475.0,,0 1 0
2528,Saint Laurent,525.0,525.0,0 0 1
2529,Milly,495.0,242.0,0 1 0
2530,Pakerson,525.0,,0 0 1
2531,Stella McCartney,525.0,157.0,0 0 1
2532,MEDEA,514.0,435.0,0 0 1
2533,BAPE,500.0,,0 1 0
2534,Baum und Pferdgarten,493.0,493.0,0 1 0
2535,Dsquared2,480.0,288.0,0 1 0
2536,Matsuda,484.0,484.0,0 1 0
2537,Marques Almeida,466.0,466.0,0 1 0
2538,Moncler,460.0,460.0,0 1 0
2539,Paper London,485.0,145.43,0 1 0
2540,Kirin,460.0,230.0,0 1 0
2541,Golden Goose Deluxe Brand,530.0,530.0,0 0 1
2542,Tissot,495.0,495.0,0 1 0
2543,Missoni,535.0,321.0,0 0 1
2544,Jimmy Choo,475.0,,0 1 0
2545,Golden Goose Deluxe Brand,480.0,398.0,0 1 0
2546,L'Autre Chose,520.0,312.0,0 0 1
2547,Etro,530.0,371.0,0 0 1
2548,MEDEA,480.0,336.0,0 1 0
2549,Racil,488.0,488.0,0 1 0
2550,Dsquared2,480.0,480.0,0 1 0
2551,Jerome Dreyfuss,502.0,,0 0 1
2552,Marcelo Burlon,535.0,535.0,0 0 1
2553,Rick Owens,512.0,308.0,0 0 1
2554,A.L.C.,495.0,,0 1 0
2555,N 21,540.0,,0 0 1
2556,Hogan,455.0,455.0,0 1 0
2557,Neil Barrett,490.0,245.0,0 1 0
2558,Brioni,474.0,474.0,0 1 0
2559,Danse Lente,480.0,480.0,0 1 0
2560,Stubbs & Wootton,483.0,483.0,0 1 0
2561,Dsquared2,535.0,535.0,0 0 1
2562,Bottega Veneta,500.0,500.0,0 1 0
2563,Moon & Meadow,460.0,,0 1 0
2564,Tory Burch,526.0,263.0,0 0 1
2565,Nike,480.0,,0 1 0
2566,Mykita,477.0,477.0,0 1 0
2567,Nike,455.0,,0 1 0
2568,Alan Crocetti,535.0,535.0,0 0 1
2569,Hogan,455.0,319.0,0 1 0
2570,Salvatore Ferragamo,495.0,495.0,0 1 0
2571,Chloé,500.0,,0 1 0
2572,Santoni,536.0,390.0,0 0 1
2573,Bashian,525.0,393.75,0 0 1
2574,Salvatore Ferragamo,495.0,495.0,0 1 0
2575,Raquel Allegra,523.0,523.0,0 0 1
2576,Salvatore Ferragamo,495.0,495.0,0 1 0
2577,Officine Creative,502.0,502.0,0 0 1
2578,Marni,490.0,245.0,0 1 0
2579,Barrie,475.0,237.0,0 1 0
2580,Maison Margiela,495.0,370.0,0 1 0
2581,Emporio Armani,473.0,332.0,0 1 0
2582,Pendleton,525.0,315.0,0 0 1
2583,ami,505.0,,0 0 1
2584,Burberry,520.0,520.0,0 0 1
2585,Daniel W. Fletcher,520.0,520.0,0 0 1
2586,ISABEL MARANT,520.0,520.0,0 0 1
2587,Ralph Lauren Home,595.0,,0 0 1
2588,Guidi,600.0,600.0,0 0 1
2589,Rick Owens,600.0,179.0,0 0 1
2590,John Varvatos,548.0,,0 0 1
2591,Mizuki,585.0,585.0,0 0 1
2592,Dsquared2,615.0,615.0,0 0 1
2593,Stuart Weitzman,598.0,239.0,0 0 1
2594,Hogan,545.0,327.0,0 0 1
2595,Alexandre Birman,636.0,445.0,0 0 1
2596,Kuboraum,580.0,580.0,0 0 1
2597,LEE MATHEWS,570.0,342.0,0 0 1
2598,Jacquemus,640.0,640.0,0 0 1
2599,Saloni,595.0,595.0,0 0 1
2600,Nike,619.0,619.0,0 0 1
2601,Burberry,590.0,354.0,0 0 1
2602,Neil Barrett,595.0,595.0,0 0 1
2603,John Hardy,595.0,595.0,0 0 1
2604,Longchamp,560.0,560.0,0 0 1
2605,Telfar,548.0,439.0,0 0 1
2606,Balenciaga,550.0,,0 0 1
2607,Missoni,640.0,384.0,0 0 1
2608,Massimo Alba,633.0,589.0,0 0 1
2609,VALENTINO,645.0,,0 0 1
2610,Alberta Ferretti,595.0,298.0,0 0 1
2611,Gucci,550.0,550.0,0 0 1
2612,Alice And Olivia,550.0,550.0,0 0 1
2613,Bally,595.0,417.0,0 0 1
2614,Polo Ralph Lauren,568.0,568.0,0 0 1
2615,Sergio Rossi,595.0,595.0,0 0 1
2616,KENZO,575.0,345.0,0 0 1
2617,Giuseppe Zanotti,641.0,449.0,0 0 1
2618,Marni,633.0,633.0,0 0 1
2619,Off-White,560.0,392.0,0 0 1
2620,Saint Laurent,545.0,326.9,0 0 1
2621,Saint Laurent,545.0,,0 0 1
2622,BAPE,599.0,,0 0 1
2623,Dolce & Gabbana,575.0,345.0,0 0 1
2624,John Hardy,595.0,595.0,0 0 1
2625,Off-White,605.0,,0 0 1
2626,Chloé,595.0,595.0,0 0 1
2627,A.L.C.,645.0,316.0,0 0 1
2628,Furla,587.0,,0 0 1
2629,Max Mara,630.0,630.0,0 0 1
2630,Alexandre Birman,557.0,552.0,0 0 1
2631,Tumi,625.0,625.0,0 0 1
2632,Blumarine,639.0,320.0,0 0 1
2633,Furla,588.0,,0 0 1
2634,Acne Studios,590.0,590.0,0 0 1
2635,Magda Butrym,630.0,567.0,0 0 1
2636,Balenciaga,595.0,,0 0 1
2637,Salvatore Ferragamo,590.0,590.0,0 0 1
2638,Givenchy,640.0,640.0,0 0 1
2639,ISABEL MARANT,600.0,600.0,0 0 1
2640,Lagos,600.0,600.0,0 0 1
2641,Shrimps,591.0,414.0,0 0 1
2642,Fear of God,550.0,,0 0 1
2643,Golden Goose Deluxe Brand,585.0,585.0,0 0 1
2644,Magnanni,556.0,556.0,0 0 1
2645,Sydney Evan,540.0,,0 0 1
2646,Pierre Hardy,545.0,,0 0 1
2647,Santoni,610.0,604.0,0 0 1
2648,Tabitha Simmons,645.0,258.0,0 0 1
2649,ROSSIGNOL,649.0,649.0,0 0 1
2650,Forte Forte,625.0,250.0,0 0 1
2651,Issey Miyake,630.0,,0 0 1
2652,Engineered Garments,625.0,625.0,0 0 1
2653,Alexander McQueen,590.0,590.0,0 0 1
2654,ALANUI,605.0,303.0,0 0 1
2655,Nanushka,631.0,631.0,0 0 1
2656,Ann Demeulemeester,607.0,364.0,0 0 1
2657,A.P.C.,641.0,449.0,0 0 1
2658,Kiton,595.0,,0 0 1
2659,Salvatore Ferragamo,595.0,,0 0 1
2660,Nili Lotan,550.0,385.0,0 0 1
2661,ASAI,648.0,518.0,0 0 1
2662,Jimmy Choo,575.0,575.0,0 0 1
2663,Meira T,550.0,,0 0 1
2664,Rebecca Vallance,630.0,630.0,0 0 1
2665,Maison Kitsune,648.0,648.0,0 0 1
2666,Alexander McQueen,640.0,640.0,0 0 1
2667,Helmut Lang,549.0,467.0,0 0 1
2668,Sydney Evan,540.0,,0 0 1
2669,Robe di Firenze,540.0,,0 0 1
2670,Les Reveries,630.0,430.0,0 0 1
2671,Adina Reyter,598.0,,0 0 1
2672,Nike,595.0,,0 0 1
2673,Rick Owens DRKSHDW,569.0,342.0,0 0 1
2674,Hogan,605.0,303.0,0 0 1
2675,Mehry Mu,600.0,,0 0 1
2676,Prada,595.0,595.0,0 0 1
2677,Alberta Ferretti,595.0,595.0,0 0 1
2678,Rebecca Taylor,595.0,,0 0 1
2679,Tod's,625.0,438.0,0 0 1
2680,Burberry,580.0,290.0,0 0 1
2681,Kiton,595.0,,0 0 1
2682,Maison Margiela,545.0,327.0,0 0 1
2683,Jordan,565.0,565.0,0 0 1
2684,Kaws,580.0,,0 0 1
2685,Raquel Allegra,586.0,586.0,0 0 1
2686,Kolor,627.0,627.0,0 0 1
2687,Dolce & Gabbana,575.0,345.0,0 0 1
2688,Etro,600.0,360.0,0 0 1
2689,Max Mara,565.0,338.98,0 0 1
2690,Marni,560.0,336.0,0 0 1
2691,Versace,550.0,495.0,0 0 1
2692,Mauviel,575.0,,0 0 1
2693,Bottega Veneta,640.0,512.0,0 0 1
2694,WOLF,549.0,565.0,0 0 1
2695,Schott,585.0,585.0,0 0 1
2696,La Prairie,560.0,560.0,0 0 1
2697,rag & bone,550.0,330.0,0 0 1
2698,Sofie D'Hoore,629.0,623.0,0 0 1
2699,Burberry,630.0,630.0,0 0 1
2700,Dolce & Gabbana,625.0,563.0,0 0 1
2701,Jerome Dreyfuss,596.0,357.6,0 0 1
2702,SACAI,645.0,,0 0 1
2703,Palm Angels,645.0,645.0,0 0 1
2704,Fendi,590.0,,0 0 1
2705,Palm Angels,570.0,570.0,0 0 1
2706,rag & bone,595.0,446.25,0 0 1
2707,Church's,552.0,547.0,0 0 1
2708,Versace,625.0,625.0,0 0 1
2709,Off-White,595.0,595.0,0 0 1
2710,Manu Atelier,585.0,585.0,0 0 1
2711,Nina Ricci,595.0,595.0,0 0 1
2712,Eleventy,615.0,615.0,0 0 1
2713,Neil Barrett,560.0,336.0,0 0 1
2714,Aspesi,548.0,329.0,0 0 1
2715,Sophia Webster,559.0,559.0,0 0 1
2716,Neil Barrett,560.0,336.0,0 0 1
2717,Alberta Ferretti,645.0,549.0,0 0 1
2718,Harris Wharf,555.0,,0 0 1
2719,Paul Andrew,557.0,279.0,0 0 1
2720,Emporio Armani,545.0,464.0,0 0 1
2721,Chloé,626.0,626.0,0 0 1
2722,Fabiana Filippi,569.0,370.0,0 0 1
2723,EF COLLECTION,550.0,,0 0 1
2724,Faith Connexion,617.0,494.0,0 0 1
2725,Missoni,548.0,,0 0 1
2726,Etro,640.0,640.0,0 0 1
2727,Fendi,600.0,600.0,0 0 1
2728,SACAI,550.0,440.0,0 0 1
2729,Boss Hugo Boss,595.0,595.0,0 0 1
2730,Prada,557.0,557.0,0 0 1
2731,Lafayette 148 New York,548.0,,0 0 1
2732,David Yurman,595.0,595.0,0 0 1
2733,Maison Margiela,630.0,315.0,0 0 1
2734,Officine Generale,550.0,,0 0 1
2735,Miu Miu,550.0,550.0,0 0 1
2736,Ermanno Scervino,630.0,630.0,0 0 1
2737,Thom Browne,570.0,570.0,0 0 1
2738,Chloé,589.0,471.0,0 0 1
2739,VALENTINO,625.0,625.0,0 0 1
2740,R13,622.0,622.0,0 0 1
2741,Hogan,545.0,545.0,0 0 1
2742,David Yurman,600.0,600.0,0 0 1
2743,Bottega Veneta,580.0,580.0,0 0 1
2744,Badgley Mischka,550.0,550.0,0 0 1
2745,Moncler,636.0,636.0,0 0 1
2746,Malone Souliers,595.0,,0 0 1
2747,Ted Baker,575.0,,0 0 1
2748,Canada Goose,625.0,625.0,0 0 1
2749,MCM,580.0,,0 0 1
2750,Prada,645.0,645.0,0 0 1
2751,Yves Delorme,595.0,,0 0 1
2752,Dolce & Gabbana,545.0,545.0,0 0 1
2753,Loewe,550.0,550.0,0 0 1
2754,Corneliani,636.0,509.0,0 0 1
2755,Tibi,595.0,595.0,0 0 1
2756,Officine Generale,544.0,544.0,0 0 1
2757,Tory Burch,598.0,,0 0 1
2758,Sara Lanzi,587.0,587.0,0 0 1
2759,Eleventy,642.0,450.0,0 0 1
2760,Ken Griffey Jr.,550.0,,0 0 1
2761,Heron Preston,540.0,270.0,0 0 1
2762,Thom Browne,600.0,600.0,0 0 1
2763,Stuart Weitzman,595.0,238.0,0 0 1
2764,we11done,615.0,615.0,0 0 1
2765,Prada,570.0,570.0,0 0 1
2766,Forte Forte,635.0,,0 0 1
2767,Ports 1961,641.0,257.0,0 0 1
2768,Victoria Victoria Beckham,589.0,413.0,0 0 1
2769,Marni,550.0,275.0,0 0 1
2770,Alberta Ferretti,595.0,238.0,0 0 1
2771,Bally,575.0,,0 0 1
2772,Moschino,625.0,375.0,0 0 1
2773,Raf Simons,550.0,358.0,0 0 1
2774,Fendi,590.0,590.0,0 0 1
2775,Johanna Ortiz,595.0,357.0,0 0 1
2776,Diane von Furstenberg,648.0,648.0,0 0 1
2777,Acler,550.0,550.0,0 0 1
2778,Courreges,645.0,,0 0 1
2779,Salvatore Ferragamo,630.0,,0 0 1
2780,Proenza Schouler,590.0,501.5,0 0 1
2781,Malone Souliers,613.0,,0 0 1
2782,Diane von Furstenberg,598.0,598.0,0 0 1
2783,Piquadro,560.0,,0 0 1
2784,Moschino,550.0,550.0,0 0 1
2785,Dolce & Gabbana,545.0,327.0,0 0 1
2786,Loewe,690.0,345.0,0 0 1
2787,A.P.C.,660.0,,0 0 1
2788,Rick Owens DRKSHDW,725.0,725.0,0 0 1
2789,Brother Vellies,750.0,,0 0 1
2790,Ippolita,750.0,,0 0 1
2791,Buscemi,685.0,411.0,0 0 1
2792,Rick Owens,698.0,419.0,0 0 1
2793,Balmain,750.0,750.0,0 0 1
2794,MSGM,710.0,284.0,0 0 1
2795,Jimmy Choo,650.0,650.0,0 0 1
2796,Ulla Johnson,702.0,492.0,0 0 1
2797,Fendi,650.0,650.0,0 0 1
2798,Balenciaga,695.0,695.0,0 0 1
2799,Christian Wijnants,760.0,760.0,0 0 1
2800,Santoni,685.0,568.0,0 0 1
2801,Sergio Rossi,695.0,417.0,0 0 1
2802,Manolo Blahnik,745.0,745.0,0 0 1
2803,Dolce & Gabbana,740.0,740.0,0 0 1
2804,Equipment,681.0,681.0,0 0 1
2805,1017 ALYX 9SM,724.0,616.0,0 0 1
2806,Duo,706.0,494.0,0 0 1
2807,Jimmy Choo,750.0,375.0,0 0 1
2808,Balenciaga,700.0,,0 0 1
2809,Yves Delorme,695.0,,0 0 1
2810,3.1 Phillip Lim,745.0,521.5,0 0 1
2811,Dries Van Noten,745.0,298.0,0 0 1
2812,Lagos,650.0,650.0,0 0 1
2813,Rick Owens,680.0,408.0,0 0 1
2814,Dolce & Gabbana,695.0,695.0,0 0 1
2815,Aspesi,671.0,671.0,0 0 1
2816,Dolce & Gabbana,725.0,363.0,0 0 1
2817,Heron Preston,658.0,592.0,0 0 1
2818,Balenciaga,695.0,695.0,0 0 1
2819,Gucci,700.0,700.0,0 0 1
2820,Gianvito Rossi,695.0,,0 0 1
2821,Burberry,770.0,770.0,0 0 1
2822,Marcelo Burlon County of Milan,716.0,502.0,0 0 1
2823,Hogan,725.0,508.0,0 0 1
2824,Le Feuillet,660.0,,0 0 1
2825,Sergio Rossi,750.0,750.0,0 0 1
2826,Giuseppe Zanotti,695.0,695.0,0 0 1
2827,Nike,700.0,,0 0 1
2828,Off-White,755.0,755.0,0 0 1
2829,Oriental Weavers,666.0,499.5,0 0 1
2830,ISABEL MARANT,740.0,444.0,0 0 1
2831,Molly Goddard,655.0,393.0,0 0 1
2832,Proenza Schouler,681.0,647.0,0 0 1
2833,Elisabetta Franchi,702.0,526.0,0 0 1
2834,Missoni,696.0,689.0,0 0 1
2835,Paul Smith,670.0,670.0,0 0 1
2836,Boss Hugo Boss,695.0,629.0,0 0 1
2837,Natasha Zinko,742.0,371.0,0 0 1
2838,Acne Studios,700.0,,0 0 1
2839,Dolce & Gabbana,775.0,760.0,0 0 1
2840,MISSONIHOME,770.0,,0 0 1
2841,Wandler,740.0,740.0,0 0 1
2842,Prada,690.0,690.0,0 0 1
2843,Adam Lippes,750.0,450.0,0 0 1
2844,Casadei,745.0,522.0,0 0 1
2845,Yohji Yamamoto,670.0,536.0,0 0 1
2846,Maison Margiela,685.0,480.0,0 0 1
2847,Chanel Pre-Owned,674.0,674.0,0 0 1
2848,Philippe Deshoulieres,750.0,,0 0 1
2849,ML Monique Lhuillier,695.0,695.0,0 0 1
2850,Julius,706.0,459.0,0 0 1
2851,JW Anderson,760.0,380.0,0 0 1
2852,New Balance,650.0,,0 0 1
2853,Gucci,750.0,750.0,0 0 1
2854,Off-White,718.0,,0 0 1
2855,Rick Owens DRKSHDW,745.0,447.0,0 0 1
2856,Balenciaga,695.0,695.0,0 0 1
2857,Ermenegildo Zegna,695.0,695.0,0 0 1
2858,Jane Wilner Designs,725.0,,0 0 1
2859,Alexander McQueen,690.0,,0 0 1
2860,Tabitha Simmons,695.0,695.0,0 0 1
2861,Ann Demeulemeester,755.0,755.0,0 0 1
2862,Pierre Hardy,695.0,487.0,0 0 1
2863,Sandro,670.0,268.0,0 0 1
2864,Roland Mouret,740.0,,0 0 1
2865,Burberry,742.0,742.0,0 0 1
2866,VALENTINO,695.0,,0 0 1
2867,Dsquared2,740.0,444.0,0 0 1
2868,ALTUZARRA,695.0,695.0,0 0 1
2869,Iceberg,743.0,669.0,0 0 1
2870,MSGM,730.0,365.0,0 0 1
2871,Dsquared2,745.0,745.0,0 0 1
2872,Charlotte Olympia,695.0,,0 0 1
2873,Gianvito Rossi,745.0,745.0,0 0 1
2874,Ziggy Chen,724.0,688.0,0 0 1
2875,VALENTINO,750.0,750.0,0 0 1
2876,UGG,695.0,695.0,0 0 1
2877,Kith,750.0,,0 0 1
2878,Massimo Alba,690.0,683.0,0 0 1
2879,Off-White,680.0,680.0,0 0 1
2880,Pleats Please Issey Miyake,655.0,655.0,0 0 1
2881,Balenciaga,650.0,,0 0 1
2882,Marni,650.0,325.0,0 0 1
2883,MONICA RICH KOSANN,750.0,,0 0 1
2884,Saint Laurent,725.0,725.0,0 0 1
2885,Adriana Degreas,687.0,687.0,0 0 1
2886,Saint Laurent,725.0,725.0,0 0 1
2887,Bally,725.0,,0 0 1
2888,Dolce & Gabbana,745.0,745.0,0 0 1
2889,Saloni,750.0,375.0,0 0 1
2890,Dolce & Gabbana,725.0,508.0,0 0 1
2891,Alexander McQueen,750.0,750.0,0 0 1
2892,Balenciaga,770.0,,0 0 1
2893,Prada,690.0,690.0,0 0 1
2894,Roksanda,724.0,724.0,0 0 1
2895,Chloé,750.0,750.0,0 0 1
2896,Moncler,655.0,655.0,0 0 1
2897,Marcelo Burlon County of Milan,695.0,695.0,0 0 1
2898,Caroline Constas,695.0,173.0,0 0 1
2899,Stella McCartney,675.0,,0 0 1
2900,Nili Lotan,742.0,742.0,0 0 1
2901,Tod's,695.0,487.0,0 0 1
2902,Clergerie,750.0,450.0,0 0 1
2903,Saint Laurent,650.0,390.0,0 0 1
2904,Burberry,760.0,760.0,0 0 1
2905,Burberry,650.0,,0 0 1
2906,Moschino,684.0,410.4,0 0 1
2907,Off-White,745.0,447.0,0 0 1
2908,Tod's,695.0,695.0,0 0 1
2909,Pierre Hardy,745.0,,0 0 1
2910,Moncler,720.0,,0 0 1
2911,Norma Kamali,655.0,655.0,0 0 1
2912,Jimmy Choo,675.0,675.0,0 0 1
2913,BAPE,750.0,,0 0 1
2914,KENZO,750.0,367.0,0 0 1
2915,Bally,670.0,,0 0 1
2916,M Missoni,715.0,715.0,0 0 1
2917,Just Cavalli,765.0,459.0,0 0 1
2918,Chiara Boni La Petite Robe,750.0,292.0,0 0 1
2919,Balmain,714.0,643.0,0 0 1
2920,Stella McCartney,765.0,765.0,0 0 1
2921,Z Zegna,695.0,,0 0 1
2922,Etro,765.0,,0 0 1
2923,John Richmond,692.0,554.0,0 0 1
2924,Gianvito Rossi,695.0,,0 0 1
2925,Maryam Nassir Zadeh,696.0,487.0,0 0 1
2926,Ann Demeulemeester,742.0,742.0,0 0 1
2927,Rick Owens,740.0,444.0,0 0 1
2928,Loewe,650.0,650.0,0 0 1
2929,Dolce & Gabbana,725.0,711.0,0 0 1
2930,VALENTINO,695.0,,0 0 1
2931,Junya Watanabe,730.0,730.0,0 0 1
2932,Saloni,695.0,417.0,0 0 1
2933,Burberry,690.0,352.0,0 0 1
2934,Solace London,746.0,746.0,0 0 1
2935,Off-White,760.0,608.0,0 0 1
2936,1017 ALYX 9SM,690.0,552.0,0 0 1
2937,Wandler,720.0,720.0,0 0 1
2938,Boglioli,756.0,454.0,0 0 1
2939,Dorateymur,695.0,417.0,0 0 1
2940,Marni,650.0,325.0,0 0 1
2941,Christian Wijnants,690.0,690.0,0 0 1
2942,Canada Goose,771.0,771.0,0 0 1
2943,Balenciaga,720.0,720.0,0 0 1
2944,Giuseppe Zanotti,750.0,600.0,0 0 1
2945,Dsquared2,770.0,770.0,0 0 1
2946,alexanderwang,650.0,325.0,0 0 1
2947,Giorgio Armani,700.0,525.0,0 0 1
2948,Badgley Mischka,650.0,389.98,0 0 1
2949,Marcelo Burlon County of Milan,775.0,388.0,0 0 1
2950,ISABEL MARANT,695.0,525.0,0 0 1
2951,Bottega Veneta,680.0,,0 0 1
2952,Stella McCartney,680.0,680.0,0 0 1
2953,Veronica Beard,695.0,695.0,0 0 1
2954,Calvin Klein,740.0,370.0,0 0 1
2955,Victoria Beckham,720.0,432.0,0 0 1
2956,Rick Owens DRKSHDW,703.0,703.0,0 0 1
2957,Freida Rothman,750.0,,0 0 1
2958,Repetto,695.0,174.0,0 0 1
2959,Fendi,650.0,650.0,0 0 1
2960,3.1 Phillip Lim,774.0,541.8,0 0 1
2961,Hed Mayner,700.0,700.0,0 0 1
2962,Marco Bicego,770.0,690.0,0 0 1
2963,Francesco Russo,695.0,695.0,0 0 1
2964,Dion Lee,650.0,650.0,0 0 1
2965,Helmut Lang,725.0,,0 0 1
2966,Neil Barrett,650.0,455.0,0 0 1
2967,Giuseppe Zanotti,775.0,775.0,0 0 1
2968,Kim Seybert,674.0,,0 0 1
2969,Forzieri,767.0,,0 0 1
2970,Christian Louboutin,745.0,,0 0 1
2971,Givenchy,738.0,738.0,0 0 1
2972,John Hardy,750.0,750.0,0 0 1
2973,Suzusan,745.0,745.0,0 0 1
2974,Mulberry,675.0,675.0,0 0 1
2975,Miu Miu,750.0,,0 0 1
2976,Off-White,655.0,655.0,0 0 1
2977,SACAI,764.0,726.0,0 0 1
2978,Surya,765.0,,0 0 1
2979,Jerome Dreyfuss,710.0,,0 0 1
2980,Sies Marjan,695.0,695.0,0 0 1
2981,Maison Margiela,720.0,504.0,0 0 1
2982,Le Nine,655.0,458.0,0 0 1
2983,Alexander McQueen,695.0,487.0,0 0 1
2984,COACH,650.0,650.0,0 0 1
2985,Zimmermann,850.0,,0 0 1
2986,Balenciaga,780.0,,0 0 1
2987,Givenchy,945.0,945.0,0 0 1
2988,Bernard Delettrez,880.0,,0 0 1
2989,JW Anderson,850.0,850.0,0 0 1
2990,Public School,895.0,,0 0 1
2991,Alexander McQueen,850.0,425.0,0 0 1
2992,Givenchy,795.0,795.0,0 0 1
2993,ISABEL MARANT,860.0,,0 0 1
2994,Ermenegildo Zegna,844.0,759.0,0 0 1
2995,Larkspur & Hawk,800.0,800.0,0 0 1
2996,Safavieh,864.0,,0 0 1
2997,Marni,850.0,340.0,0 0 1
2998,Zimmermann,875.0,875.0,0 0 1
2999,Just Don,900.0,450.0,0 0 1
3000,Gucci,950.0,950.0,0 0 1
3001,Prada,820.0,820.0,0 0 1
3002,Saint Laurent,895.0,895.0,0 0 1
3003,VALENTINO,845.0,845.0,0 0 1
3004,Marchesa Notte,795.0,398.0,0 0 1
3005,Moschino,935.0,935.0,0 0 1
3006,Marina Moscone,950.0,950.0,0 0 1
3007,Dsquared2,795.0,477.0,0 0 1
3008,Dolce & Gabbana,875.0,744.0,0 0 1
3009,Moncler Genius,900.0,900.0,0 0 1
3010,Elie Saab,900.0,675.0,0 0 1
3011,Rosetta Getty,870.0,,0 0 1
3012,Dalyn Rug Company,799.0,599.25,0 0 1
3013,Moschino,795.0,477.0,0 0 1
3014,Ippolita,795.0,,0 0 1
3015,Hayward,925.0,,0 0 1
3016,David Yurman,850.0,850.0,0 0 1
3017,ALTUZARRA,895.0,,0 0 1
3018,Maison Margiela,950.0,665.0,0 0 1
3019,Armani Collezioni,895.0,438.0,0 0 1
3020,Gianvito Rossi,795.0,795.0,0 0 1
3021,Haider Ackermann,898.0,539.0,0 0 1
3022,Proenza Schouler,945.0,945.0,0 0 1
3023,Miu Miu,780.0,780.0,0 0 1
3024,Rosie Assoulin,795.0,795.0,0 0 1
3025,MCM,850.0,850.0,0 0 1
3026,Balenciaga,950.0,475.0,0 0 1
3027,Gianvito Rossi,945.0,378.0,0 0 1
3028,Balenciaga,850.0,850.0,0 0 1
3029,Balenciaga,850.0,850.0,0 0 1
3030,Zoe Chicco,790.0,,0 0 1
3031,Saint Laurent,904.0,633.0,0 0 1
3032,VALENTINO,895.0,895.0,0 0 1
3033,Santoni,847.0,593.0,0 0 1
3034,Jil Sander,845.0,845.0,0 0 1
3035,Gu de,950.0,,0 0 1
3036,Wandler,800.0,800.0,0 0 1
3037,Versace,925.0,925.0,0 0 1
3038,Zoe Chicco,875.0,700.0,0 0 1
3039,Just Cavalli,820.0,410.0,0 0 1
3040,Monica Vinader,895.0,895.0,0 0 1
3041,Just Don,900.0,450.0,0 0 1
3042,Surya,865.0,865.0,0 0 1
3043,Rick Owens,800.0,,0 0 1
3044,Saint Laurent,795.0,795.0,0 0 1
3045,Meira T,850.0,,0 0 1
3046,Chloé,858.0,600.0,0 0 1
3047,Saint Laurent,890.0,890.0,0 0 1
3048,Off-White,881.0,793.0,0 0 1
3049,Alexander McQueen,820.0,574.0,0 0 1
3050,Anya Hindmarch,850.0,850.0,0 0 1
3051,Gucci,790.0,,0 0 1
3052,Sydney Evan,860.0,,0 0 1
3053,Miu Miu,950.0,950.0,0 0 1
3054,Jimmy Choo,795.0,795.0,0 0 1
3055,Prada,790.0,790.0,0 0 1
3056,Stella McCartney,850.0,850.0,0 0 1
3057,3.1 Phillip Lim,834.0,417.0,0 0 1
3058,Tory Burch,936.0,749.0,0 0 1
3059,Versace,877.9,975.0,0 0 1
3060,Kiton,895.0,,0 0 1
3061,Bloomingdale's,840.0,378.0,0 0 1
